                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.39105,                0.24933,                0.93065,                0.97222,                0.97468,                0.97871,                0.86691,                0.55868,                 0.2556,                0.99006,              0.0029875,              0.0029875,              0.0029875
                     87,                0.37974,                0.23431,                0.92778,                0.95021,                0.96462,                0.97409,                0.86718,                0.54599,                0.25387,                0.98598,               0.002905,               0.002905,               0.002905
                     88,                0.38744,                0.24016,                0.92796,                0.96255,                0.97012,                0.97438,                0.87312,                0.55663,                0.25236,                0.99294,              0.0028225,              0.0028225,              0.0028225
                     89,                0.38375,                0.23906,                0.92616,                0.97281,                0.97938,                0.98207,                0.87638,                0.55575,                0.24506,                0.98775,                0.00274,                0.00274,                0.00274
                     90,                0.38679,                0.24039,                0.93345,                0.97418,                0.97599,                0.98096,                0.87282,                0.55153,                  0.244,                0.98265,              0.0026575,              0.0026575,              0.0026575
                     91,                0.38127,                0.24089,                 0.9283,                0.96556,                0.97938,                0.98502,                0.86857,                 0.5364,                0.23381,                0.97724,               0.002575,               0.002575,               0.002575
                     92,                0.36995,                0.23052,                0.92183,                0.97293,                0.96964,                0.98376,                0.87884,                0.54371,                0.23617,                 0.9803,              0.0024925,              0.0024925,              0.0024925
                     93,                0.37935,                0.23433,                0.92898,                0.97145,                0.97855,                0.98399,                0.87229,                0.55229,                0.23357,                0.98629,                0.00241,                0.00241,                0.00241
                     94,                0.36807,                0.22641,                0.92705,                0.96807,                 0.9785,                0.98516,                0.87506,                0.53925,                0.23374,                 0.9826,              0.0023275,              0.0023275,              0.0023275
                     95,                0.38012,                 0.2355,                 0.9285,                0.96426,                0.97938,                0.98381,                0.87122,                0.56137,                0.24075,                0.98968,               0.002245,               0.002245,               0.002245
                     96,                0.37208,                0.23171,                0.92228,                0.96553,                0.97253,                0.98184,                0.86988,                0.55513,                0.24314,                0.98433,              0.0021625,              0.0021625,              0.0021625
                     97,                0.36608,                0.21936,                0.92802,                0.97753,                0.97819,                0.98347,                0.87823,                0.56868,                0.24996,                0.99259,                0.00208,                0.00208,                0.00208
                     98,                0.36507,                 0.2266,                0.93043,                 0.9773,                0.97576,                 0.9848,                0.87611,                0.57106,                0.24528,                0.99347,              0.0019975,              0.0019975,              0.0019975
                     99,                 0.3697,                 0.2325,                0.92325,                0.97867,                0.97412,                 0.9849,                0.87361,                0.57371,                 0.2404,                0.99768,               0.001915,               0.001915,               0.001915
                    100,                 0.3612,                0.22621,                0.91796,                0.96728,                0.97875,                 0.9841,                0.87356,                0.55978,                0.23508,                0.98875,              0.0018325,              0.0018325,              0.0018325
                    101,                0.35979,                0.22486,                0.91898,                0.97118,                0.97862,                 0.9833,                0.87952,                0.56198,                0.23677,                0.98753,                0.00175,                0.00175,                0.00175
                    102,                0.35771,                0.22058,                0.91947,                0.96809,                  0.979,                0.98358,                 0.8822,                0.54612,                0.23412,                0.97585,              0.0016675,              0.0016675,              0.0016675
                    103,                0.36194,                0.21929,                0.92227,                0.98095,                0.97794,                0.98551,                0.88616,                0.53603,                0.22273,                0.97324,               0.001585,               0.001585,               0.001585
                    104,                0.35938,                0.22063,                0.92035,                0.98106,                 0.9793,                0.98511,                 0.8808,                0.54722,                0.22999,                0.97736,              0.0015025,              0.0015025,              0.0015025
                    105,                0.35491,                0.21611,                 0.9214,                0.95029,                0.97545,                0.98479,                0.88058,                0.54845,                0.23304,                0.98137,                0.00142,                0.00142,                0.00142
                    106,                0.35915,                0.22385,                0.92724,                0.97111,                0.97317,                0.98447,                0.87357,                0.54349,                0.23718,                0.97911,              0.0013375,              0.0013375,              0.0013375
                    107,                0.35377,                0.21915,                0.92353,                0.96824,                0.97938,                0.98576,                 0.8825,                0.54275,                0.23344,                0.97973,               0.001255,               0.001255,               0.001255
                    108,                0.34774,                0.21617,                0.92123,                0.96984,                0.97861,                0.98455,                0.88017,                0.54096,                0.23151,                0.98041,              0.0011725,              0.0011725,              0.0011725
                    109,                0.34857,                0.21592,                0.91767,                0.97136,                0.98236,                0.98505,                0.87585,                0.54952,                0.23335,                0.98129,                0.00109,                0.00109,                0.00109
                    110,                0.30323,                 0.1769,                0.87652,                0.96799,                0.97546,                0.98239,                 0.8696,                0.55178,                0.23738,                 0.9882,              0.0010075,              0.0010075,              0.0010075
                    111,                0.30391,                0.17784,                 0.8795,                0.96833,                0.97938,                0.98362,                   0.88,                0.54622,                 0.2506,                0.98064,               0.000925,               0.000925,               0.000925
                    112,                0.29864,                 0.1729,                0.87098,                0.96639,                0.97938,                 0.9845,                0.87343,                0.55203,                0.24229,                0.98284,              0.0008425,              0.0008425,              0.0008425
                    113,                0.29915,                0.17554,                0.87061,                0.96727,                0.97757,                0.98455,                0.88058,                0.53689,                0.23553,                0.97458,                0.00076,                0.00076,                0.00076
                    114,                0.29669,                0.17377,                 0.8773,                0.97192,                0.97262,                0.98264,                0.87888,                0.54384,                0.24179,                0.97693,              0.0006775,              0.0006775,              0.0006775
                    115,                0.29392,                0.17103,                0.87546,                0.96469,                0.96332,                0.97865,                0.87451,                0.54965,                0.23303,                0.98101,               0.000595,               0.000595,               0.000595
                    116,                0.29421,                0.17233,                0.87249,                 0.9584,                0.96815,                0.97804,                0.87477,                 0.5374,                0.23721,                 0.9743,              0.0005125,              0.0005125,              0.0005125
                    117,                0.29031,                0.16932,                0.88039,                0.96633,                0.97938,                0.98436,                 0.8779,                0.53511,                0.23573,                0.97095,                0.00043,                0.00043,                0.00043
                    118,                0.28599,                0.16442,                0.87618,                0.96964,                0.97824,                0.98235,                0.87963,                0.52913,                0.23154,                0.96865,              0.0003475,              0.0003475,              0.0003475
                    119,                0.28798,                0.16365,                0.87225,                0.96939,                0.97919,                0.98397,                0.87969,                0.53988,                0.23161,                0.97417,               0.000265,               0.000265,               0.000265
